Product_id,BrandName,Category,Individual_category,category_by_Gender,DiscountPrice (in Rs),OriginalPrice (in Rs),DiscountOffer,SizeOption,Ratings,Reviews,Column1,Column2,Column3
12509638,Ishin,Indian Wear,kurta-sets,Women,1519,3799,60% OFF,"S, M, L, XL, XXL",4.4,935,60%,OFF,2279.4
9371627,Sangria,Plus Size,kurtas,Women,389,1299,70% OFF,"XS, S, M, L, XL, XXL, 3XL",4.2,935,70%,OFF,909.3
13437322,Sangria,Plus Size,kurtas,Women,519,1299,60% OFF,"XS, S, M, L, XL, XXL, 3XL",4.1,935,60%,OFF,779.4
10641868,Tokyo Talkies,Western,jeans,Women,,1899,57% OFF,"26, 28, 30, 32, 34",3.9,935,57%,OFF,1082.43
17381768,Roadster,Western,tshirts,Women,,1998,,"XS, S, M, L, XL",4.3,935,,, 
10986390,Mast & Harbour,Inner Wear &  Sleep Wear,socks,Men,381,449,15% OFF,Onesize,4.3,934,15%,OFF,67.35
8714027,Mast & Harbour,Topwear,shirts,Men,899,1799,50% OFF,"38, 40, 42, 44",4.1,934,50%,OFF,899.5
6832181,WROGN,Topwear,jackets,Men,1799,4499,60% OFF,"M, L, XL, XXL",4.3,934,60%,OFF,2699.4
9200201,Anouk,Indian Wear,kurtas,Women,559,1599,65% OFF,"XS, S, M, L, XL",4.1,934,65%,OFF,1039.35
17523596,Mast & Harbour,Western,tshirts,Women,,1398,50% OFF,"XS, S, M, L, XL",4.3,934,50%,OFF,699
11109396,Berrylush,Western,dresses,Women,,1599,17% OFF,"S, M, L, XL",4.4,934,17%,OFF,271.83
2248879,Roadster,Topwear,shirts,Men,824,1499,45% OFF,"38, 40, 42, 44, 46, 48",4,933,45%,OFF,674.55
8426381,WROGN,Topwear,tshirts,Men,499,999,50% OFF,"S, M, L, XL, XXL",3.8,933,50%,OFF,499.5
15034244,Jockey,Lingerie & Sleep Wear,briefs,Women,,549,,"S, M, L",4.4,933,,, 
1741886,ether,Western,trousers,Women,,1999,55% OFF,"26, 28, 30, 32, 34, 36",3.8,933,55%,OFF,1099.45
8325255,Mast & Harbour,Western,tops,Women,,899,60% OFF,"XS, S, M, L, XL",4.2,933,60%,OFF,539.4
10064565,Roadster,Bottom Wear,jeans,Men,719,1799,60% OFF,"28, 30, 32, 34, 36",3.8,932,60%,OFF,1079.4
